,precision,recall,f1-score,support
Chihuahua,0.6538461538461539,0.6538461538461539,0.6538461538461539,52.0
Japanese spaniel,0.8488372093023255,0.8588235294117647,0.8538011695906432,85.0
Maltese dog,0.875,0.7828947368421053,0.8263888888888888,152.0
Pekinese,0.7307692307692307,0.7755102040816326,0.7524752475247525,49.0
Shih-Tzu,0.69,0.6052631578947368,0.6448598130841121,114.0
Blenheim spaniel,0.9367088607594937,0.8409090909090909,0.8862275449101796,88.0
papillon,0.9072164948453608,0.9166666666666666,0.9119170984455959,96.0
toy terrier,0.7183098591549296,0.7083333333333334,0.7132867132867133,72.0
Rhodesian ridgeback,0.6428571428571429,0.375,0.47368421052631576,72.0
Afghan hound,0.8675496688741722,0.9424460431654677,0.903448275862069,139.0
basset,0.8688524590163934,0.7066666666666667,0.7794117647058824,75.0
beagle,0.7888888888888889,0.7473684210526316,0.7675675675675676,95.0
bloodhound,0.8472222222222222,0.7011494252873564,0.7672955974842768,87.0
bluetick,0.7575757575757576,0.704225352112676,0.7299270072992701,71.0
black-and-tan coonhound,0.7666666666666667,0.7796610169491526,0.773109243697479,59.0
Walker hound,0.5,0.5849056603773585,0.5391304347826087,53.0
English foxhound,0.6481481481481481,0.6140350877192983,0.6306306306306306,57.0
redbone,0.4788732394366197,0.7083333333333334,0.5714285714285714,48.0
borzoi,0.8157894736842105,0.6078431372549019,0.6966292134831461,51.0
Irish wolfhound,0.7475728155339806,0.652542372881356,0.6968325791855203,118.0
Italian greyhound,0.5604395604395604,0.6219512195121951,0.5895953757225434,82.0
whippet,0.5514018691588785,0.6781609195402298,0.6082474226804123,87.0
Ibizan hound,0.8701298701298701,0.7613636363636364,0.8121212121212121,88.0
Norwegian elkhound,0.8913043478260869,0.8541666666666666,0.8723404255319149,96.0
otterhound,0.6363636363636364,0.8235294117647058,0.717948717948718,51.0
Saluki,0.8117647058823529,0.69,0.745945945945946,100.0
Scottish deerhound,0.7878787878787878,0.7878787878787878,0.7878787878787878,132.0
Weimaraner,0.7567567567567568,0.9333333333333333,0.835820895522388,60.0
Staffordshire bullterrier,0.5178571428571429,0.5272727272727272,0.5225225225225225,55.0
American Staffordshire terrier,0.4461538461538462,0.453125,0.4496124031007752,64.0
Bedlington terrier,0.8658536585365854,0.8658536585365854,0.8658536585365854,82.0
Border terrier,0.6704545454545454,0.8194444444444444,0.7375,72.0
Kerry blue terrier,0.8695652173913043,0.759493670886076,0.8108108108108109,79.0
Irish terrier,0.675,0.782608695652174,0.7248322147651006,69.0
Norfolk terrier,0.6266666666666667,0.6527777777777778,0.6394557823129252,72.0
Norwich terrier,0.6944444444444444,0.5882352941176471,0.6369426751592356,85.0
Yorkshire terrier,0.46551724137931033,0.421875,0.4426229508196721,64.0
wire-haired fox terrier,0.8076923076923077,0.7368421052631579,0.7706422018348624,57.0
Lakeland terrier,0.7192982456140351,0.422680412371134,0.5324675324675324,97.0
Sealyham terrier,0.945054945054945,0.8431372549019608,0.8911917098445595,102.0
Airedale,0.8426966292134831,0.7352941176470589,0.7853403141361257,102.0
cairn,0.7216494845360825,0.7216494845360825,0.7216494845360825,97.0
Australian terrier,0.5981308411214953,0.6666666666666666,0.6305418719211823,96.0
Dandie Dinmont,0.8382352941176471,0.7125,0.7702702702702703,80.0
Boston bull,0.8414634146341463,0.8414634146341463,0.8414634146341463,82.0
miniature schnauzer,0.5652173913043478,0.48148148148148145,0.52,54.0
giant schnauzer,0.4418604651162791,0.6666666666666666,0.5314685314685315,57.0
standard schnauzer,0.5285714285714286,0.6727272727272727,0.592,55.0
Scotch terrier,0.7586206896551724,0.7586206896551724,0.7586206896551724,58.0
Tibetan terrier,0.6,0.5943396226415094,0.5971563981042654,106.0
silky terrier,0.5612244897959183,0.6626506024096386,0.6077348066298343,83.0
soft-coated wheaten terrier,0.7906976744186046,0.6071428571428571,0.6868686868686869,56.0
West Highland white terrier,0.6823529411764706,0.8405797101449275,0.7532467532467533,69.0
Lhasa,0.47572815533980584,0.5697674418604651,0.5185185185185185,86.0
flat-coated retriever,0.6197183098591549,0.8461538461538461,0.7154471544715447,52.0
curly-coated retriever,0.8269230769230769,0.8431372549019608,0.8349514563106796,51.0
golden retriever,0.6779661016949152,0.8,0.7339449541284404,50.0
Labrador retriever,0.5952380952380952,0.704225352112676,0.6451612903225806,71.0
Chesapeake Bay retriever,0.684931506849315,0.746268656716418,0.7142857142857143,67.0
German short-haired pointer,0.7,0.8076923076923077,0.75,52.0
vizsla,0.620253164556962,0.9074074074074074,0.7368421052631579,54.0
English setter,0.7758620689655172,0.7377049180327869,0.7563025210084033,61.0
Irish setter,0.8392857142857143,0.8545454545454545,0.8468468468468469,55.0
Gordon setter,0.8936170212765957,0.7924528301886793,0.84,53.0
Brittany spaniel,0.75,0.75,0.75,52.0
clumber,0.88,0.88,0.88,50.0
English springer,0.78125,0.847457627118644,0.8130081300813008,59.0
Welsh springer spaniel,0.8636363636363636,0.76,0.8085106382978723,50.0
cocker spaniel,0.8536585365853658,0.5932203389830508,0.7,59.0
Sussex spaniel,0.8703703703703703,0.9215686274509803,0.8952380952380953,51.0
Irish water spaniel,0.8,0.8,0.8,50.0
kuvasz,0.6976744186046512,0.6,0.6451612903225806,50.0
schipperke,0.7384615384615385,0.8888888888888888,0.8067226890756303,54.0
groenendael,0.8,0.88,0.8380952380952381,50.0
malinois,0.6666666666666666,0.92,0.773109243697479,50.0
briard,0.48,0.6923076923076923,0.5669291338582677,52.0
kelpie,0.576271186440678,0.6415094339622641,0.6071428571428571,53.0
komondor,0.8275862068965517,0.8888888888888888,0.8571428571428571,54.0
Old English sheepdog,0.8,0.7536231884057971,0.7761194029850746,69.0
Shetland sheepdog,0.7818181818181819,0.7543859649122807,0.7678571428571429,57.0
collie,0.58,0.5471698113207547,0.5631067961165048,53.0
Border collie,0.5846153846153846,0.76,0.6608695652173913,50.0
Bouvier des Flandres,0.6744186046511628,0.58,0.6236559139784946,50.0
Rottweiler,0.7636363636363637,0.8076923076923077,0.7850467289719626,52.0
German shepherd,0.875,0.6730769230769231,0.7608695652173914,52.0
Doberman,0.7017543859649122,0.8,0.7476635514018691,50.0
miniature pinscher,0.7558139534883721,0.7738095238095238,0.7647058823529411,84.0
Greater Swiss Mountain dog,0.6075949367088608,0.7058823529411765,0.6530612244897959,68.0
Bernese mountain dog,0.9142857142857143,0.8135593220338984,0.8609865470852018,118.0
Appenzeller,0.4069767441860465,0.6862745098039216,0.5109489051094891,51.0
EntleBucher,0.8873239436619719,0.6176470588235294,0.7283236994219653,102.0
boxer,0.6938775510204082,0.6666666666666666,0.68,51.0
bull mastiff,0.6764705882352942,0.8214285714285714,0.7419354838709677,56.0
Tibetan mastiff,0.803921568627451,0.7884615384615384,0.7961165048543689,52.0
French bulldog,0.7534246575342466,0.9322033898305084,0.8333333333333334,59.0
Great Dane,0.7073170731707317,0.5178571428571429,0.5979381443298969,56.0
Saint Bernard,0.9166666666666666,0.9428571428571428,0.9295774647887324,70.0
Eskimo dog,0.2714285714285714,0.38,0.31666666666666665,50.0
malamute,0.671875,0.5512820512820513,0.6056338028169014,78.0
Siberian husky,0.5223880597014925,0.3804347826086957,0.44025157232704404,92.0
affenpinscher,0.7407407407407407,0.8,0.7692307692307693,50.0
basenji,0.8674698795180723,0.6605504587155964,0.75,109.0
pug,0.7766990291262136,0.8,0.7881773399014779,100.0
Leonberg,0.8611111111111112,0.8454545454545455,0.8532110091743119,110.0
Newfoundland,0.8,0.7157894736842105,0.7555555555555555,95.0
Great Pyrenees,0.6074074074074074,0.7256637168141593,0.6612903225806451,113.0
Samoyed,0.8448275862068966,0.8305084745762712,0.8376068376068376,118.0
Pomeranian,0.9519230769230769,0.8319327731092437,0.8878923766816144,119.0
chow,0.9662921348314607,0.8958333333333334,0.9297297297297298,96.0
keeshond,0.9655172413793104,0.9655172413793104,0.9655172413793104,58.0
Brabancon griffon,0.8035714285714286,0.8490566037735849,0.8256880733944955,53.0
Pembroke,0.810126582278481,0.7901234567901234,0.8,81.0
Cardigan,0.5625,0.6545454545454545,0.6050420168067226,55.0
toy poodle,0.5641025641025641,0.43137254901960786,0.4888888888888889,51.0
miniature poodle,0.2857142857142857,0.2545454545454545,0.2692307692307692,55.0
standard poodle,0.58,0.4915254237288136,0.5321100917431193,59.0
Mexican hairless,0.8518518518518519,0.8363636363636363,0.8440366972477065,55.0
dingo,0.5774647887323944,0.7321428571428571,0.6456692913385826,56.0
dhole,0.9555555555555556,0.86,0.9052631578947369,50.0
African hunting dog,0.9322033898305084,0.7971014492753623,0.859375,69.0
accuracy,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
macro avg,0.724848232807153,0.7245622675891568,0.71928463328262,8580.0
weighted avg,0.7395532537724204,0.7272727272727273,0.7282805316752259,8580.0
