phase/name,val/acc,val/weighted_f1,train/acc,train/macro_f1,evaluation/calibration,training/history_table,_step,evaluation/confusion_matrix_counts,_runtime,train/weighted_f1,val/macro_f1,epoch,evaluation/classification_report,trainer/lr,phase/epoch,val/loss,train/loss,_timestamp,evaluation/confusion_matrix_normalized
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_head_only,0.9455555555555556,0.9441788998596596,0.874313725490196,0.8746856478598732,,,1,,84.194673534,0.874685647859873,0.9441788998596596,1.0,,0.00075,1.0,0.18340303288565743,0.7836592166797788,1775283403.0933619,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_head_only,0.9433333333333334,0.9417861624374233,0.9455882352941176,0.9454708600150634,,,2,,126.339833243,0.9454708600150634,0.941786162437423,2.0,,0.0002500000000000001,2.0,0.1719585030608707,0.18848688867162255,1775283445.1594982,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_head_only,0.9522222222222222,0.9516454241631057,0.9561764705882353,0.955993305900132,,,3,,205.482486724,0.9559933059001319,0.9516454241631057,3.0,,0.0,3.0,0.15889753272136053,0.14738703699088565,1775283487.3045938,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9255555555555556,0.9250992749170347,0.9353921568627451,0.935291292795256,,,4,,284.253289701,0.935291292795256,0.9250992749170347,4.0,,2.8858192987669303e-05,1.0,0.23982152316305372,0.20272973164039498,1775283566.4472053,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9261111111111111,0.9255433330181494,0.9639215686274509,0.9638683231874486,,,5,,362.907000068,0.9638683231874486,0.9255433330181492,5.0,,2.5606601717798212e-05,2.0,0.2441871366235945,0.1236289111013506,1775283645.217821,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9255555555555556,0.924679383983767,0.9779411764705882,0.9779165555830062,,,6,,441.542830396,0.9779165555830063,0.9246793839837671,6.0,,2.074025148547635e-05,3.0,0.2564806733032068,0.08070665608872385,1775283723.8716865,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9166666666666666,0.9157288082989818,0.984313725490196,0.984293771719617,,,7,,520.17018563,0.9842937717196171,0.915728808298982,7.0,,1.5e-05,4.0,0.25938898568352065,0.05909714926253347,1775283802.5075083,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9272222222222222,0.9271489409274449,0.9897058823529412,0.9897040232159403,,,8,,598.766703969,0.9897040232159405,0.9271489409274447,8.0,,9.259748514523654e-06,5.0,0.23979755176024303,0.04175133521796442,1775283881.1348283,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9272222222222222,0.9269488310606913,0.9929411764705882,0.9929418505492293,,,9,,677.303991096,0.9929418505492293,0.9269488310606915,9.0,,4.3933982822017874e-06,6.0,0.2389842396477858,0.03143469802377855,1775283959.7312944,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9338888888888889,0.933548066791574,0.9940196078431373,0.994019275948197,,,10,,755.837278165,0.9940192759481967,0.9335480667915739,10.0,,1.1418070123306989e-06,7.0,0.2243224239266581,0.02794213170642216,1775284038.2687128,
vit_b_16_|_head_3_+_full_fine_tune_8_epochs_full_finetune,0.9344444444444444,0.9340944275735927,0.996078431372549,0.9960758958445385,,,11,,822.175229584,0.9960758958445385,0.9340944275735928,11.0,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://4a9v6h6ze92at1lt59xvhljnrsm70vtlc0hovh3tlxrygodqyhaeurj1dcx7tww9bw20nco6j69nxqasor27pm3f8mmlu6ecry5w9hnnk9e3rxtbyorcp5dmn2jwhb5y/evaluation/classification_report.table.json', '_type': 'table-file', 'sha256': '9f18976e1fed3b1e3e998b60893730fbded150fe61a5209fd84d3ba1f6a2d8c1', 'size': 9660, 'ncols': 5, 'path': 'media/table/evaluation/classification_report_11_9f18976e1fed3b1e3e99.table.json', 'nrows': 123, '_latest_artifact_path': 'wandb-client-artifact://jk4xdx4sw62rjuewe8dtfsl5k0um16t51hyr57vbvblgbcnrmlhcghpnqj9flo8gyphoz7fvo7s6t4ry8wpl7ed2u42h2skff4xe8a35gosc7m8ayl3keu0bmfe7gjqx:latest/evaluation/classification_report.table.json'}",0.0,8.0,0.22448852714565065,0.02082730168896709,1775284183.1404002,
,,,,,,,12,"{'height': 4852, 'width': 5414, 'caption': 'ViT-B/16 | Head 3 + full fine-tune 8 epochs confusion matrix (counts)', '_type': 'image-file', 'format': 'png', 'path': 'media/images/evaluation/confusion_matrix_counts_12_c2a83338e51f77a8d360.png', 'sha256': 'c2a83338e51f77a8d360aa9c925bc919d6aac96c59a7ecb0fed6501cfde93720', 'size': 1526282.0}",822.488612722,,,,,,,,,1775284183.453678,
,,,,,,,13,,822.783577117,,,,,,,,,1775284183.7487423,"{'path': 'media/images/evaluation/confusion_matrix_normalized_13_5e30ffe31fa108bcf92f.png', 'sha256': '5e30ffe31fa108bcf92fb4417fe744da45576a0d1a4273209bb5727ec60ff246', 'size': 1797052.0, 'caption': 'ViT-B/16 | Head 3 + full fine-tune 8 epochs confusion matrix (normalized)', 'height': 4852, 'width': 5395, '_type': 'image-file', 'format': 'png'}"
